Dataset,n_estimators,max_depth,MAPE,RMSE,MAE,R2,Time(s)
Malaysia,10,4,3.4697606028971983,2040.7255285844192,1549.658739433914,0.979096531867981,0.5158271789550781
Malaysia,10,5,3.899166851612955,2150.0553466650504,1675.3540345905908,0.9767968058586121,0.5562148094177246
Malaysia,10,6,3.634151795877353,2030.0539656633732,1563.354670957138,0.9793146252632141,1.077737808227539
Malaysia,10,7,3.215167379522815,1858.1891284668368,1406.9334003052425,0.9826688170433044,1.923799753189087
Malaysia,10,8,2.8301981401323024,1778.767428786529,1279.935034579918,0.984118640422821,3.020894765853882
Malaysia,11,3,3.9863993655584613,2319.256706466175,1735.7628780844434,0.9730010628700256,0.462191104888916
Malaysia,11,4,3.4688685752987727,2040.167329839404,1548.6296480105875,0.9791079759597778,0.5013134479522705
Malaysia,11,5,3.9142475054884045,2153.5750556654853,1680.0879693370048,0.9767207503318787,0.6065573692321777
Malaysia,11,6,3.592018768911334,2025.2151488121947,1550.4698679772882,0.9794130921363831,1.1653990745544434
Malaysia,11,7,3.1526101536047464,1836.2586841177674,1382.5449312137125,0.9830754995346069,2.0934393405914307
Malaysia,11,8,2.9464733527542886,1851.9262509182442,1313.8403613814892,0.9827854037284851,4.411100149154663
Malaysia,12,3,3.995853298646068,2321.978299755385,1739.0717840142588,0.9729377031326294,0.40113234519958496
Malaysia,12,4,3.4507348805234663,2033.994860474705,1540.9845164147882,0.9792342185974121,0.46375203132629395
Malaysia,12,5,3.898842117813215,2147.4207416168447,1674.1886766777664,0.976853609085083,0.6158239841461182
Malaysia,12,6,3.6114029427105185,2026.1915631912232,1554.5590860335553,0.9793932437896729,1.2570858001708984
Malaysia,12,7,3.105089327276653,1809.2792468925993,1361.60113425333,0.9835691452026367,2.2815256118774414
Malaysia,12,8,2.9867497520650956,1871.8574871535661,1328.2221933166838,0.9824128746986389,4.805622339248657
Malaysia,13,3,3.627334175656848,2224.5048033426538,1634.9481674778006,0.9751620888710022,0.41030216217041016
Malaysia,13,4,3.4367899821231354,2030.996496408195,1535.3675196913423,0.9792953729629517,0.4849545955657959
Malaysia,13,5,3.910158529984224,2149.2886249737226,1677.409733339737,0.9768133163452148,0.6756210327148438
Malaysia,13,6,3.606126465378471,2022.911018698088,1551.5046466764857,0.9794598817825317,1.3721086978912354
Malaysia,13,7,3.0893186803632027,1826.5614979937693,1362.297095126793,0.9832537770271301,2.459994077682495
Malaysia,13,8,2.8256399033993915,1797.8880447737188,1276.7213541666667,0.9837753772735596,3.589048147201538
Malaysia,14,3,4.077296458475027,2261.6282777790466,1748.2907034451844,0.9743261337280273,0.4224851131439209
Malaysia,14,4,3.4618093473882436,2037.5545666033506,1543.392672846226,0.9791614413261414,0.5300180912017822
Malaysia,14,5,3.903157904901084,2144.9975564614765,1673.469602491035,0.9769058227539062,0.7375690937042236
Malaysia,14,6,3.6113151827265657,2021.8668136675994,1551.7465766948428,0.9794811010360718,1.4681129455566406
Malaysia,14,7,3.339727806263731,1885.414587302782,1451.3790583376024,0.9821572303771973,2.533897638320923
Malaysia,14,8,2.9143540456407817,1800.1825518399676,1304.437458642845,0.9837339520454407,4.726521015167236
Malaysia,15,3,4.076453460658596,2261.8043605467356,1748.690553758965,0.9743221402168274,0.46292805671691895
Malaysia,15,4,3.4602699456141335,2035.358395108307,1541.6300589139344,0.979206383228302,0.4917178153991699
Malaysia,15,5,3.8902954936437557,2140.424494613944,1668.2940213563013,0.9770041704177856,0.7608354091644287
Malaysia,15,6,3.6011414579076666,2015.5175759341369,1546.9244845030737,0.9796097874641418,1.5542969703674316
Malaysia,15,7,3.3742245111068776,1885.46414313347,1458.3256902642588,0.9821562767028809,2.72550630569458
Malaysia,15,8,2.8433070639738176,1818.7859727713192,1300.8210169057377,0.983396053314209,4.11906623840332
Malaysia,16,3,4.381330602846782,2409.743017893782,1887.7137044270833,0.9708532691001892,0.4792013168334961
Malaysia,16,4,3.6591705002113386,2106.3152192382663,1617.0839563588627,0.9777312874794006,0.4819643497467041
Malaysia,16,5,3.887850215516951,2136.7168507299707,1666.417641895065,0.9770838022232056,0.7999577522277832
